placeId,reviewNumber,rating,text,title,userContributions,userLocation,publishedDate,stayDate
342101,0,5,"This is a lovely place to enjoy Mexican food. Love their speciality; shrimps.
Cosy environment, great service, great food. Reservations seems to be not needed. Just join.","Great Mexican restaurant",222,"Den Bosch, The Netherlands",15mar2019,31mar2019
342102,0,5,"We really enjoy this restaurant.  It's about 20 miles away from us, but we'll make the drive sometimes because we enjoy it so much.
That atmosphere is comfortable and feels like your in someones garden patio dining area.  Services is good and very friendly.

My favorite is the Penne Calabrese and my son loves their Lasagna","Great food and great atmosphere",15,"",06aug2019,31jul2019
342102,1,3,"Hubby and I just decided to eat out on the spur of the moment.  We’ve been here many times and their pizza is the best in the Bay Area!!   Tonight, I shared a fried calamari appetizer.  Lots of tentacles on the plate which he eats and I had a few rings.  They were in huge pieces which is different but very tasty.  My entree was the appetizer of clams.  Looked small but there were lots of clams in the bowl.  The sauce was to die for!!  My hubby had the eggplant parm.  Came with veggies and spaghetti.  Very large serving.  Eggplant was a bit too coated for him but still good.   If I were rating the pizza, I would give it a 6 out of 5 but average for these dishes tonight was average.   Waitress and servers were fabulous!","Spur of the moment",719,"Palo Alto, California",22jul2019,31jul2019
342102,2,4,"We only get to see our family about once a year and this was our last meal together. Waiters were wonderful,very attentive. We shared the potato skin appetizer. I ordered the clam appetizer which was very flavorful. The fresh salmon Florentine looked scrumptious and was entirely eaten at the table. The veal parm was also a hit with family members. Hubby and I shared the lasagna(the smallest entree of the three but good), Garlic bread served on the side was tasty. Good wine selection.","Last night with family-great retaurant!",185,"New York",06jul2019,31jul2019
342102,3,3,"Went for a Cousins birthday (his 57th) and our party easily took up 2 tables.  Approx. 4 generations altogether.  We had several starters (Salad, Bread, Calamari) .  The Claimari was pretty good, the batter was crispy and the meat still tender.  Although an Italian eatery, I still stuck to my luncheon go to whenever I try a new Restaurant: Bacon Cheeseburger and fries. Before I get to my review of my dish I want to point out.

- My aunt had the meatball Sandwich.  The portions were Huge! She could only finish about 1/3rd of the plate. She said it was really good.

- Mom had the lasagna: also a big portion and she did complain about not getting more bread but had no complaints about the main dish. 

- My uncle had the Fettuccine Carbonara.  He pretty much finished this plate and had nothign but good comments.

The ""Kids Table"":  the pizzas looked filling and everyone in that table seems to have had a good time with thier food.

My dish: Well the burger was on the smaller side.  The basic shoestring fries were just that. Stringy and basic.  It also barely seemed to be 1/2 portion as the otherwise seemingly overflowing plates of my family, mine looked...lacking.  The burger tasted like a large meatball (but still considerably smaller than my aunts meatball sandwich).
I managed to finish my plate in about 1/2 of the tiem as my family and one of my cousins order a 2 nd plate of calamari and pretty much left it for me. 

It seemed as if the chief thought the burger was for a kid and treated it as such.  But he cost was full price ($15 - $16). 

Will I go back?  Possibly not.","Pricey: But good for Pizza and Italian fare",78,"San Jose, California",02jul2019,30jun2019
342102,4,4,"My wife and I thoroughly enjoyed Scampi Griglia and Veal Scaloppini Marsala, which were both served in hearty portions, along with glasses of Sauvignon Blanc and Pinot Noir.  The decor and ambience of the restaurant were pleasant and comfortable, and the servers were extra friendly and prompt.","GREATITALIANFOOD",19,"Pleasanton, CA",09jun2019,31may2019
342102,5,3,"We've eaten at this restaurant several times and the food has always been good. If you're a vegetarian, there are a couple of options, not too many. Last time we visited FJ&LT the service was horrendous. We waited 45 minutes for our dishes to arrive. They kept giving us lame excuses like, ""we have lots of to-go orders"" and such, but the restaurant was far from full at the time. After complaining to the manager, our food finally came. We won't be eating there again for sure.","Horrible service",110,"sc",17may2019,31may2019
342102,6,3,"We love FJ&L for take out pizza.  This time we were included in a large family dinner (40 people). There seemed to be too few servers, food came out uneven, one dish was served that didn’t belong in our group ( cheese ravioli).    We didn’t know how many each dish was supposed to cover.  I thought the small salad was for me but then found it was 6 peoole.  Certainly not well coordinated,  but our favorite pizza restaurant on the peninsula!","Difficult large party experience",719,"Palo Alto, California",09may2019,30apr2019
342102,7,4,"I visit the Bay Area about once or twice a year since it’s my home (grew up in the bay). I had seen this restaurant for years but never eaten there. A friend works in Sunnyvale
& I was coming from RWC, so figured to at least try this place. My friend had eaten here and said it was good. I arrived early enough which I was happy about because it got packed after we had arrived. I love the Italian decor & the staff was nice and attentive even when there were many people. Food was really good as well. I wouldn’t mind eating here again if I’m in the area. ","Dinner for two",302,"Columbus, Ohio",03may2019,31may2019
342102,8,1,"For many many years the Mt. View FJL was our favorite neighborhood dinner place. We would go a couple of times a month. But now they've seen the last of us. The menu has changed-again-eliminating all the dishes we would order. Osso buco, wedge salad, to name two. They used to have a nightly special that was terrific. Best chicken ever, on Wednesdays. That's gone. Now they have pizza with thick, chewy crust and ordinary pasta dishes only. My one star is generous.","This place is in trouble",1,"",27apr2019,30apr2019
342102,9,5,"Loved everything about our visit.  Staff was conscientious and observant.  Veal Marsala wasn't the best I've ever had but far, far from the worst.  Amazed at how good our pre-dinner cocktails came out.  It's hard to find a bar tender under 30 years old that can make a good Grasshopper.  My vodka martini was perfect as per my requests to prepare it.  Just what we would expect in an old school Italian restaurant.

I noted some reviews criticizing this establishment as being a parody of an Italian restaurant.  I am not sure why this should be a criticism.  It’s the same as somebody saying they would have enjoyed visiting Disneyland except that the presence of Mickey Mouse was too over-literal and on-the-nose.  For us, we loved Frankie Johnnie & Luigi Too for what it is.  We were looking for the  Italian restaurant experience and we found exactly what we were looking for.

FYI, if we need to validate our aptness to critique, we have lived and traveled extensively in Europe and spent considerable time in New York.  We have established a pretty broad exposure to Italian cuisine that is our baseline for this review.","Delightful and Relaxed... Pure Enjoyment",22,"Temecula, California",24apr2019,30apr2019
